dataTime,logClass,logMessage
2024-01-05 00:14:42,com.example.tibiaeventbusproject.discordWebHookLayer.TibiaEventJsonHandler,siema jestem z jsonHanndler
2024-01-05 00:14:42,com.example.tibiaeventbusproject.discordWebHookLayer.filterChainProcess.FilterChainMap,jestem z klasy ChainMap
2024-01-05 00:15:02,com.example.tibiaeventbusproject.discordWebHookLayer.TibiaEventJsonHandler,siema jestem z jsonHanndler
2024-01-05 00:15:02,com.example.tibiaeventbusproject.discordWebHookLayer.filterChainProcess.FilterChainMap,jestem z klasy ChainMap
2024-01-26 10:07:56,com.example.tibiaeventbusproject.discordWebHookLayer.TibiaEventJsonHandler,siema jestem z jsonHanndler
2024-01-26 10:07:56,com.example.tibiaeventbusproject.discordWebHookLayer.filterChainProcess.FilterChainMap,jestem z klasy ChainMap
2024-01-26 10:08:08,com.example.tibiaeventbusproject.discordWebHookLayer.TibiaEventJsonHandler,siema jestem z jsonHanndler
2024-01-26 10:08:08,com.example.tibiaeventbusproject.discordWebHookLayer.filterChainProcess.FilterChainMap,jestem z klasy ChainMap
2024-01-26 10:12:23,com.example.tibiaeventbusproject.discordWebHookLayer.TibiaEventJsonHandler,siema jestem z jsonHanndler
2024-01-26 10:12:23,com.example.tibiaeventbusproject.discordWebHookLayer.filterChainProcess.FilterChainMap,jestem z klasy ChainMap
